talk: 10分のタイマーを10時間でセットした	はははっは！
talk: 喧嘩した	時間が経てば元に戻れる
talk: 嘘をついてしまった	正直に言ってみよう
talk: 困った	問題解決は原因を分析することが一番やで！よく考えて次に行動しよう。
talk: 変なお客さん来ないといいな	来ませんように
talk: 変なことをつぶやいてしまったかもしれない	いうほど一つの言葉を気にする人は多くない
talk: 変な人に絡まれた	逃げた方がいいね
talk: 変換[が|]上手くいかない	注意力上がるね
talk: 夏休み終わった	もうすぐ冬休みくるよ
talk: 外[が|]寒い	冬〜って感じ
talk: 外出禁止になった	ステイホームを楽しもう
talk: 外国語で道を聞かれた	ジェスチャーで何とかしてみよう
talk: 外食したら行列が…	きっと美味しいんだ！
talk: [外食した後に|]財布がないことに気付いた	皿洗いをして帰りましょう
talk: 多くの仕事を任された	信頼されてるんだね
talk: 夜[に|][寝|眠]れない	朝早く起きよう！
talk: 夜更かししちゃう	昼夜逆転わかる
talk: 夜更かししてしまう	同じく
talk: 夜道[が|]暗い	気をつけて！
talk: 大きいクモに遭遇した	クモは益虫だから、出ても気にしなくてOK
talk: 大事なものをなくした	探し物は探すのをやめたときにみつかるよ
talk: 大事な日に寝坊した	次にこの失敗を繰り返さないように気をつけよう
talk: 大事な書類が破れた	どうしよう
talk: 大切にしていたものを間違えて捨ててしまった	次から、落とさないような場所に置けばOK
talk: 大勢の人の前で転んだ	大丈夫！？記憶は薄れるだろうし気にしない気にしない！
talk: 大声出してめっちゃ見られた	私もたまにやる、気を付けよう…
talk: 天気[が|]悪くて洗濯物[が|]たまる	コインランドリーいいよ
talk: 太った	食べる量減らしてみたら？
talk: 失敗した	過去から学び、今日のために生き、未来に希望をもとう。
talk: 失敗したらどうしよう	それも経験！
talk: 好きだったドラマ[が|]終わってしまう	来クールにもっとハマれるドラマがあるかもよ?
talk: 好きなことだけしていたい	もうひと踏ん張り！
talk: 好きなアイドルと会えた	一生の思い出じゃん
talk: 好きなユーチューバー[が|]配信やめた	他のユーチューバー探そう
talk: 好きな人から返信来ない	たまたまだよ
talk: 好きな人[が|]ナルシストだった	それは萎えるね
talk: 好きな人と喧嘩した	喧嘩するほど仲がいいよ
talk: 好きな人に[彼氏|[恋人|好きな人]][が|]できた	あの人イマイチだったよ！他にいい人いるよ！
talk: 好きな人今誰といるのかな	きっと家で寝てるよ
talk: 好きな人彼女いるかな	大丈夫君が彼女だよ
talk: 好きな俳優[が|]問題を起こした	わかる、、
talk: 好きな俳優[が|]引退した	新しいすきを見つけに行こう
talk: 好きな女優[が|]結婚した	でも幸せならオッケーです
talk: 嫌いなシフト被った	コミュ力上げるチャンス！
talk: 嫌いな人に会った	人生の主役はあなた！気にしなくて良いよ
talk: 嫌いな食べ物[が|]出てきた	あとで、美味しいもの食べれると思って頑張って!
talk: 嫌なことされただけど許した	愛が無きゃ許せないよ
talk: 嬉しいことをされた	ほんとに愛してるわ
talk: 子供[が|]挨拶してきて困ってしまった	返してあげれば喜んでもらえるかも
talk: 存在[が|]薄くて悲しい	私にとってはあなたの存在は十分濃いよ。
talk: 学校が休みになった	遊んじゃおう
talk: 完結した	２週目見るか
talk: 定期なくした	もっとよく探そう
talk: 定期忘れた	ドンマイ
talk: 実験レポートを忘れた	そんな時もあるよ
talk: 実験実習費の納入[が|]間に合わなかった	締め切り過ぎてても大丈夫だよ
talk: 宣告された	余命宣告されてない人だっていつ死ぬかわからんから悔いのないように生きよ！
talk: 家から出たくない	遊びに行っていい？
talk: 家にスマホ忘れた	なくてもなんとかなる
talk: 家に強盗犯[が|]入ってくるかもしれない	宝くじに当たるくらいの確率だから、多分入ってこないと思うよ!
talk: 家の鍵をなくした	あれま
talk: 家の鍵忘れた	よくあるね
talk: 家の鍵忘れちゃった	誰か帰ってくるまで時間潰しに行こ
talk: 家の鍵閉め忘れたかも	確認しに帰った方がいいよ！
talk: 家を出たら財布を忘れた	今日は一日ヒモになろう
talk: 家事得意	いい奥さんになれるね
talk: 家計簿の計算[が|]合わない	おかしいな
talk: 家電[が|]壊れた	買い替え時だったんだよきっと…
talk: 宿題[が|]終わらない	できるところまでやろう
talk: 宿題家だ…	ドンマイ
talk: 宿題忘れた	たまには休憩も必要だよ
talk: 寒い	風邪ひかないように温かくしてね
talk: 寒いから布団から出たくない	あるあるだね
talk: 寝ぐせついたままだった	なおせそう？
talk: 寝ているとき以外眠い	生活リズムを整えよう
talk: 寝ながらスマホ見てたら顔の上に落ちてきた	一旦病院に行ってみよう
talk: 寝なきゃいけないのに寝れない	ホットミルク飲むと良いよー
talk: 寝れない	アロマとか音楽とかどうかな？？
talk: 寝不足だ	眠いよね
talk: 寝不足だけど出かけなきゃ	無理しないで
talk: 寝坊した	急げ！！
talk: 寝坊して選考受けられなかった	この会社には縁がなかったと思おう
talk: 寝癖すごい	可愛いよ♡
talk: 寝言言っちゃった	あらら、ちなみに何て言ってたの？
talk: 寝過ごした	それだけ疲れていたんだよ
talk: 寝過ごした	私も１時間くらい寝過ごしたことあるから大丈夫！
talk: 寝違えちゃった	痛いよね、まずは安静にして様子をみよう
talk: [寺田蘭世さんが|]芸能界から引退しちゃう	悪いニュースだね
talk: 対応[が|の]悪い店員がいた	別のお店に行こう
talk: 専攻はずれた	こっちから願い下げじゃない？
talk: 将来がみえない	まだいろんな道を選べるよ
talk: 将来が不安	私も不安すぎる
talk: 将来どうなるだろう	やりたいこと見つけよう
talk: 将来の夢がない	選択肢増やすために勉強しよう
talk: 将来生きていけるかな	なんとかなる！
talk: 小指ぶつけた	痛いの痛いの飛んでいけ〜
talk: 就活したくない	それな！！！
talk: 就活しなきゃ	ゆっくりやっていこう
talk: 就活どうしよう	先輩や先生に相談しよう
talk: 就活に落ちた	きっと他の良い会社に行けるよ!
talk: 就活やる気でない	仲間みつけよう
talk: 就職できるかな	なんとかなる！
talk: 就職どうしよう	たくさん調べよう
talk: 就職先決まるかな？	大丈夫！心配しなくて大丈夫だよ！
talk: 就職出来るかな	自分を理解して突き進むしかない
talk: 尻餅をついた	大丈夫？
talk: 左右違う靴下はいてきちゃった	やっちゃったね…
talk: 常に眠い	寝な
talk: 年末年始にやることが多い	わかる。
talk: 床に落ちてた犬のフンを踏んでしまった	運が付いたと思おう
talk: 店員さんとお客さんを間違えた	紛らわしいときあるよね、次から気を付けよ…
talk: 弟が反抗期	そのうち終わるよ
talk: 弟が学校に行かなくなっちゃった	お布団巻き巻きで歩いてみよ
talk: 弟に身長を抜かれた	しょうがない
talk: [彼氏|彼女]の名前を呼び間違えた	やらかしたな
talk: 彼氏[が|]できた	惚気る気？
talk: 彼氏[が|]できない！	焦らずいこ～
talk: 彼氏が元カノと仲良い	可愛く拗ねよう！
talk: 彼氏と別れた	次の出会いがあるよ
talk: 彼氏に振られた	もっといい人いるよ
talk: 彼氏の返信[が|]遅い	いそがしいんだよ、きっと
talk: 彼氏をとられた	許せないね
talk: 待ち合わせの時間間違えた	次は気を付けよう
talk: 待ち合わせ時間間違えてた	次は気を付けよう
talk: 必要とされていない	そんなことはないさ！
talk: 志望動機が特にない	わかる
talk: 忘れた	何を忘れたんだい？人間忘れる生き物さ。
talk: 忘れ物をした	取りに帰る？
talk: 応募期間過ぎてた	次の機会にかけよう
talk: 怒ってる人と同じ空間にいるとき	私だったら怖くて逃げちゃう
talk: 怒られた	次に活かそう
talk: 怖い	怖くないよ
talk: 怖い夢[|を]見た	夢でよかったね
talk: 思うようにいかない	人生甘くないんやで！
talk: 思ったことを気軽につぶやけないときがある	その方がいいよ！口は災い元だから！
talk: 急に全てがめんどくさくなる[|ときがある]	誰にでもある
talk: 急に雨が降ってきた	雨宿りしよう
talk: 性格悪い人が苦手	得意な人はいない
talk: 怪我した	お大事に。
talk: 怪我で試合に出られない	それは悔しいね
talk: [彼氏|[恋人|好きな人]]が何を考えているかわからない	多分悪いことは考えてないよ
talk: [彼氏|[恋人|好きな人]]に冷めた	何かあったんだね、
talk: [彼氏|[恋人|好きな人]]に振られた	新しい出会いあるよ！
talk: 恥ずかしいところを見られた	その人の記憶なくなれば良いのにね
talk: 悩みがない	幸せだなぁ
talk: 悩みがないことが悩み	幸せだなぁ
talk: 悪いこと[|が起きること]を恐れる	気にしすぎ！
talk: 悪口[|を]言われてるかも	思ってる以上にみんな人のこと見てないよ
talk: 悪夢[|を]見た	今日はいい夢見れるよ！
talk: 悪寒がする	あったかくして寝よう
talk: 悲しい	悲しいね！
talk: 情報取集[|を]たくさんできる	それはいいこと！
talk: 憧れの人と話すとき	憧れの人と話せるなんていいね
talk: 成功するかな	この世に男はたくさんいる
talk: 手が乾燥してきた…	良い香りのハンドクリームを使ってみよう！
talk: [手越くん|]卒業しちゃった	しちゃったね
talk: 承認してくれなかった	間違えて削除しちゃったんだよ
talk: [投稿したら|]いいね数が少なかった	そうゆう時もある！
talk: [投稿で|]マウントをとられる	気にしちゃだめ
talk: 抽選に落ちた	運が溜まっていると思って元気出して!
talk: 抽選[が|]外れた	次は当たるよ
talk: 指名される	記憶に残っていいね
talk: 指[|を]挟んだ	痛いね
talk: 挫折した	人生諦めも重要。
talk: 振られた	その人見る目ないね
talk: 振り込み[|を]忘れてた	まだ間に合うよ
talk: 捻挫した	ちゃんとストレッチ？
talk: 授業[|が]長かった	お疲れ様！
talk: 授業ノートをなくして勉強ができない	私のでよければ貸すからそんなに落ち込まないで!
talk: 授業休講のこと知らずに学校来ちゃった	良い運動だ！
talk: 推しがSNSで叩かれた	推しが素敵だから嫉妬してるんだよ
talk: 推しがあんまり更新してくれない	忙しかったり体調悪いのかもね
talk: 推しがエラーした	そういうときもあるさ
talk: 推しがクビになった	推しのセカンドキャリアも応援しよう
talk: 推しが卒業…	それは無理
talk: 推しが卒業だって	それは無理
talk: 推しが尊すぎる	それなー
talk: 推しが引退した	それは無理
talk: 推しが打たれた	そういうときもあるさ
talk: 推しが炎上した	あー、それはドンマイ
talk: 推しのイベントが多[い|くて楽しくて仕方ない]	幸せ者やねっ！
talk: 推しの[キャラクター|]グッズをたくさん買ってしまう	わかる！
talk: 推しの投稿が減った	いそがしいんだよ、きっと
talk: 推しの投稿頻度が少ない	今忙しいんだよ！きっと
talk: 推しが最下位になった	次は大丈夫だよ
talk: 推し被りが匂わせしてる	満たされてないんだよ
talk: 提出し忘れた	今月はゆっくりできるね
talk: 提出の課題持ってくるの忘れた	次回忘れないようにしよう
talk: 提出ミスをした	次は間違えないね
talk: 提出出来なかった	それは、ちゃんと確認しよ
talk: 提出忘れた	遅れてもいいから提出しよう
talk: 提出期限間に合わなかった	4回まではセーフ
talk: 提出物だし忘れた	提出物忘れ一回？余裕だね！
talk: 改札でお金がないことに気づいた	ドンマイ
talk: 改札[|に]引っかかった	ウケる
talk: 教科書[|を]忘れた	友達に見せてもらおう！
talk: 整形したい	そのままでも十分かわいいけれど、自分がしたいならすればいいさ
talk: [料理してたら|]指切った	絆創膏あげようか？
talk: 料理を作りすぎた	たくさん食べられるね＾＾
talk: 断れない	嫌ならはっきり断りな！
talk: 新しい服[|を]買った	似合ってるよ
talk: 新入生の名前と顔が一致しない	覚えようとしていることがすごい
talk: 新学期[が|]始まる	楽しんでいこう
talk: 新発売のお菓子がコンビニ限定…	高いよね…
talk: 旅行の日にちを間違えた	急いで準備しよう
talk: 既読[|を]無視された	いそがしいんだよ、きっと
talk: 日焼けした	それは痛い
talk: 早く帰りたい	残ることでできる人間関係もある！お疲れ様
talk: 早起きできない	電話かけようか？
talk: 明日その服着よう	どんな服でも似合うよ
talk: 明日の着替えがない	急いで選択しよう
talk: 明日の試合[|は|に]勝てるかな	応援してるよ
talk: 明日[|は][|バイト]初日だ	挨拶しっかりね！
talk: 明日[|は]ゼミの発表だ	大丈夫だよ
talk: 明日[|は]テストだ	最後まで足掻こう
talk: [明日提出の|]課題が終わらない	焦らず着実に進めてこ
talk: 明日発表	発表前に深呼吸してね
talk: 明日[|は]起きれるかな	早く寝よう
talk: 明日[|は]起きれるか不安	早く寝よう
talk: 明日[|は]面接だ	頑張れ
talk: 映えない	映えてる
talk: 時間の使い方が下手	難しいよね
talk: 普通の子	そこはかとなくいい感じだよね！
talk: 暑い	アイスが美味しい季節！
talk: [[暖かい|冷たい]飲み物が|]売り切れ	地味に辛い
talk: 暖房[|が]暑すぎた	温度を下げよう
talk: 暗い道[|が]怖い	気をつけてね
talk: 更新[|が]めんどい	しなくても良いのよ
talk: 最悪	ネガティヴは損だよ
talk: [[最近の|]事件のせいで|]外に出るのが怖い	そうだよね怖いよね
talk: [最近|]休みが無くて疲れた	大変そうだね、、
talk: [最近|]寝ても寝ても眠い	寝れるだけ寝るんだ！
talk: [最近|]彼氏が冷たい	それはつらいね
talk: [最近|]忙しい	忙しいっていうのは悪いことではないよ!
talk: [最近|]物騒で電車に乗りたくない	だね、スマホに見入ったり、寝たりしないようにしてい気をつけよう！
talk: 服[|が]決まらない	なんでも似合うよ
talk: 服[|が]ない	一緒に買いにいこ〜
talk: 服に染み付いた	クリーニングだわ
talk: 服に虫[|が]ついた	きっしょ
talk: 服のタグが付きっぱなしだった	それめっちゃ恥ずかしいね、どんまい
talk: 服の色が寒そう	寒色も良いぞ。
talk: 服汚した	洗ってきな
talk: 服[|が]逆だった	まじか、気づかなかった
talk: [朝たまたま見た|]占い[の結果|]が悪かった	気にしなくて大丈夫！
talk: 朝[|が|に]起きれない	アラームガンガンにしてみよう
talk: 本の置き場[|が]なくなってきた	電子書籍増やしてみる？
talk: 本を読むのに飽きた	新しいこと始めよう
talk: 来た道[|が|を]覚えられない	感覚に頼らずにマップ見て帰ろう
talk: [来週|]模擬授業だ	頑張れ
talk: [来週|]面接だ	頑張って！応援してるよ
talk: 株で大損した	次は逆にいいことあるかもよ
talk: 椅子の高さが合わない	こっちと交換すれば？
talk: 楽しい	よかった！
talk: 楽しそうな投稿がうらやましい	こっちも楽しもう！
talk: 次回が気になる	次までワクワク期間だ！
talk: 欲しいものが売り切れだった	また明日行ってみよう！
talk: 欲しいものを買えなかった	他の店に買いに行こう！
talk: 欲しかったものがお店に行ったら売り切れていた	きっとそれよりいいものが買えるよ!
talk: 欲しかったものが売り切れた	きっと再販するよ
talk: 欲しかったグッズ売り切れてた	残念だね、、再販待とう
talk: 歯が痛い	歯医者行こう
talk: 歯ブラシ買い忘れた	違う種類の試すいい機会だ
talk: 死にたい…	あなたが死んだら悲しい！
talk: 死んだ	君はまだ生きている！残された人生楽しもう。
talk: 毎日やることがたくさんある	毎日頑張ってるの知ってるよ
talk: 気持ち悪いコメントしてくる人がいる	きもいね無視しよう
talk: 気軽に相談できる相手がいない環境にいる	私も春はそういう環境になることもあったけれども、そういう時は自分から積極的に話しかけてみたら仲いい人も見つかったよ!
talk: 水をこぼした	手滑っちゃうよね
talk: 水溜りに入った	水の滴るいい女になったね
talk: 水着着て行って下着忘れた	やっちゃったね…
talk: 水筒こぼした	早く拭こう
talk: 泣きたい	存分に泣けばいい。
talk: 泥棒が来るかもしれない	ちゃんと鍵を閉めていれば入ってこないよ!
talk: 注文を言い間違えた	言い直せば大丈夫！
talk: 洗濯してしまった	後始末が大変だ
talk: 洗濯物[を|][しまい|取り込み]忘れた	雨振らないように
talk: [洗濯[|を]物干した瞬間|]雨が降ってきた	タイミング悪しだね
talk: 派手に転んだ	大丈夫？
talk: 浮気された	し返せ
talk: 浮気されてるかも	知らない方がいいこともある
talk: 海外に[行きたい|行けない]	いつかは行けるようになるよ
talk: 混雑に巻き込まれた	時間をずらそう
talk: 渋滞[…|で進めない]	みんなでゲームでもしよ！
talk: 渋滞に引っかかった	みんなでゲームでもしよ！
talk: 満員電車[…|が辛い]	嫌だよね
talk: 満員電車で乗れない	頑張って！
talk: 満員電車で痴漢された	それ通報した方がいいよ
talk: 満員電車に乗ってしまった	嫌だよね
talk: 準備大変	大変な思いはいつか報われるよ
talk: 滑ったコメントをしてしまった	ネットの海に消えるのみ
talk: 滑って転んだ	トークではもうすべらないかも
talk: 漢字の変換を間違えた	直せばいいだけ！
talk: 火を消し忘れたかも…	いったん戻るしかないかも
talk: 火傷した	痕残らないといいね
talk: 火力をミスって焦がした	火が通ってなくておなかを壊すよりいいと思おう
talk: 炊飯器のスイッチ入れてなかった	ご飯はもうちょっと待とう
talk: 炎上した	そうゆう時もある
talk: 炎上してる	あれま
talk: 炭酸が爆発した	強い炭酸ってことが分かったね
talk: 無理[|だ]	まあまあ
talk: 無視された	気づいてないだけだよ
talk: 熱が出た	温かくして寝てね
talk: 熱心に教えてたらウザがられた	情に熱い良い人だと思うよ
talk: 爆音宣伝トラックが通りかかった	イヤフォンで遮断しましょう
talk: 牛乳[|を]買い忘れた	ミルクティーが飲めない
talk: 物忘れがひどい	たくさんのことをかんがえてるんだね
talk: 物欲[が|][ひどい|とまらない]	お財布と相談やな！
talk: 物覚えが悪い	なんでも覚えるのは大変だよね
talk: 特定の人にだけ引用リツイートされる	ブロックしちゃえ
talk: 犬[が|]怖い	猫の方が怖いよ
talk: 犬[が|]脱走した	追いかけよう！！
talk: 犬に噛まれた	お大事に
talk: 犬の糞を踏んだ	どんな田舎？
talk: 犯人を逃した	早く見つけて捕まえよう！
talk: 独り暮らしを始めた	徐々に慣れていくよ
talk: 猫[が|][苦手|怖い]	ちょっと怖く見えるよね
talk: 猫にごはんあげるの忘れた	今すぐ帰ってあげな
talk: 猫に引っかかれた	友達の証
talk: 猫の手借りたい…	ฅ^• ·̫ •^ฅ 貸そうか？
talk: 献立[|を]思いつかない	検索すれば美味しいもの出てくるよ！
talk: 現金[|を]忘れた	キャッシュレス還元率高いよ
talk: 生きているのがつらい	一人じゃないよ
talk: 生理的に無理な人が増える	相手の良いところを探してみよう
talk: 甲子園を逃した	練習は無駄じゃないよ
talk: 目[|が]疲れた	一旦、休もっか
talk: 画面を見すぎて目[|が]疲れた	一旦、休もっか
talk: 画面オフだと思っていたらオンになっていた	一旦何もなかったかのように退出しよう
talk: 疲れた	お疲れ様^_^
talk: 疲れて心が痛い	まずは、遊ぼう！
talk: 痛い	痛いの痛いの飛んでけー！
talk: 痩せれない	それな
talk: 痴漢された	警察に突き出そう
talk: 発表[|を]うまくできるかな	不安ならとことん練習あるのみ！
talk: [白い[|服に]|]コーヒーこぼした	ショック！
talk: 目が痛い	一旦、休もっか
talk: 目が腫れた	安静にしよ
talk: 目にまつげが入った	鏡あるよ
talk: 目にゴミ入った	洗い流してー
talk: 目の前で[乗りたい|]電車のドアが閉まった	のんびり余裕をもって移動ができたね
talk: 目の前で品切れになった	別の店にはないかな？
talk: 相手が遅刻してきた	注意しよう
talk: 相手の名前を忘れてしまった	よくあるよね
talk: 相手を間違えてLINEしちゃった	いろんな意味で大丈夫だった？
talk: 相談聞いて	心得た！
talk: 眠い	お昼寝しとく？
talk: 眠いけど起きなきゃ	今日も一日頑張れ
talk: 眠れない	アイマスクをしよう
talk: 眼鏡[を|]なくした	もう一回落ち着いて探そう！
talk: 眼鏡[|が]似合わない	似合ってるよ
talk: 着ている服[が|]寒そう	暖かい服を着せよう
talk: 着る服[が|]ない	とりあえずあるもので考えよう！
talk: 知らない人からずっと[|メッセージがくる]	ブロックしよ
talk: 短気かも	すぐに熱くなれるんだね
talk: 砂糖と塩を間違えた	味が気になる…
talk: 社会で生きていけるかな	なるようになる！
talk: 社会人人生不安	Me,too
talk: 祝日なのに休みじゃなかった	残念！
talk: [[私服で|]会場に行ったら|]皆スーツだった	笑笑
talk: 空き巣に入られた	警察に届け出よう
talk: 第一志望に落ちた	他の大学でもきっといいことが待ってるはず
talk: 筆箱[|を]忘れた	ペン貸そうか？
talk: 筋トレ[が|]続かない	5分でいいから続けよ
talk: 筋肉痛[|だ]	ストレッチして、ゆっくり休んでね!
talk: 筋肉痛で足が痛い	ストレッチして、ゆっくり休んでね!
talk: 粒餡派が少数で辛い	私、粒あん派♥
talk: 約束を忘れ[|て]た	素直に謝ろう
talk: 紅白に落選した	レコ大には当選した？
talk: 納期を間違えた	何の仕事中？
talk: 紙で切ってしまった	地味に痛い
talk: 紙で指を切った	地味に痛い
talk: 紙で指を切ってしまった	地味に痛い
talk: 紙を破った	またコピーすればいいさ
talk: 終わった	課題ならよかったね
talk: 終電[|を]逃した	サイゼ行こうか
talk: 結婚[できる|出来る]かな	きっとできるよ
talk: 結婚相手がいない	探す手段はたくさんあるので試しましょう
talk: 給食の揚げパン落とした	ドンマイ（ ; ; ）
talk: 綺麗な景色が一瞬で消えてしまう	一瞬だからこそ良いよね
talk: 緊張しい	落ち着いて！
talk: 緊張する[|とお腹が痛くなる]	ツボを押してみよう
talk: 縁石につまずいた	いたたた
talk: 美容室の予約時間[|が]過ぎてた	連絡すれば大丈夫
talk: 美容院お金かかりすぎ…	美容師の友達探す
talk: 耳[が|]痛い	イヤホンのしすぎかも？
talk: 肌が乾燥するの	保湿大事
talk: 肌荒れがひどい	野菜沢山食べていっぱい寝よう
talk: 肌荒れしちゃった	栄養しっかり摂って寝よう
talk: 肘をぶつけた	肘ぶつけるとジンジンするよね
talk: 肩[|が]凝った	お疲れ様
talk: 肩[|が]痛い	サロンパス貼ると、すぐに治るよ!
talk: 肩こり[|が]ひどい	大丈夫？ゆっくり休んで
talk: 腰[|が]痛い	大丈夫？重いものとか持たないようにね！
talk: 腹痛	さっさとEVE飲もう！
talk: 膝[|が]痛い	無理しないで〜
talk: 自分がこのグループにいていいのかわからない	いていいんだよ！
talk: 自分が不愛想だと思う	不愛想じゃないよ
talk: 自分だけ可愛くない	そんなことないよー！
talk: 自分に自信が持てない	下には下がいるよ！
talk: 自分のするべきことがわからない	出来ることから始めよう
talk: 自分のせいで試合に負けてしまったんじゃないか	そんなことないよ
talk: 自分の失敗を人に笑われた	笑った人は時間が経てば忘れると思うから、気にしないで!
talk: 自分の好みが変わった	そうゆう時もあるよね
talk: 自分より才能がある人に嫉妬する	少しずつ努力しよう
talk: 自転車がパンクした	徒歩帰宅？
talk: 自転車で転んだ	大きなけががなくてよかった
talk: 自転車とぶつかりそうになった	危ない！
talk: 自転車を倒した	直しとくよ
talk: 自転車盗まれた	最悪じゃん
talk: 舌[|を]嚙んだ	きいてるだけで痛い!!
talk: 良い言葉が出てこない	伝われば大丈夫だよ
talk: 花粉無理	それな
talk: 花粉症がひどい	薬飲んだ？
talk: 苦いカクテルを頼んでしまった	鼻つまんで飲むといいよ
talk: 英語が出来る	石油王と結婚出来るんじゃない？
talk: 英語の先生めっちゃ当ててきた	why？
talk: 荷物[が|]重い	カート使おう
talk: 荷物[が|]重すぎて運べない	カート使おう
talk: 落ちた	何に？？
talk: 落選した	オンラインでみよう！
talk: 薬[を|]飲み忘れた	すぐ飲もう
talk: 虫歯[が|]できた	いよいよ歯医者に行く時だ
talk: 虫歯[が|]痛い	いよいよ歯医者に行く時だ
talk: 虫歯になった	いよいよ歯医者に行く時だ
talk: 蚊に刺された	ムヒ！
talk: 蜂に追いかけられた	考えたくない
talk: 融通が利かない[|節があるの]	真面目に生きてるってことだからいいことじゃない？
talk: 行きたいところに就職できるかな	なんとかなるよ
talk: 裏アカがばれた	笑笑
talk: 裏垢とサブ垢間違えた	すぐに消そう
talk: 見たかったドラマを見逃した	見逃し配信あるよ
talk: 見ていて寒い	暖かそうな服をおすすめしよう。
talk: 見過ぎちゃう	他にやることあるでしょ
talk: 視力[が|]下がった	画面とか見る時間多いもんね
talk: 視力[が|]悪い	画面とか見る時間多いもんね
talk: 親が干渉してくる	自分の意見を言った方がいい
talk: 親と喧嘩した	似たもの同士
talk: 親にアカウントばれたかも	連絡先同期してるとあるよねー
talk: 親に怒られた	嫌だね
talk: 親に言われる	自分の人生なのに。
talk: 親友に仲の良い友達が出来た	気にしすぎちゃダメ
talk: 親戚が病気になった	きっと治るよ
talk: 親戚の人に久々に会うとき	久々に会う人はなんだか緊張するよね
talk: 親戚の話が長い	大変だよね〜
talk: 角に足の小指をぶつけた	角が君を愛しているそうだ。
talk: 言葉遣いが悪い	練習しよう
talk: 許しをこう	心の広さ太平洋かよ
talk: 許可なしで写真載せられた	個人情報はダメだよね
talk: 試合に負けた	よく頑張ったね、お疲れ様
talk: 試験が近い	自分を信じて
talk: 試験に落ちた	次頑張ればいいよ！
talk: 試験勉強を少ししかしなかった	後悔先に立たず
talk: 試験大丈夫かな	今まで頑張ってきたから大丈夫
talk: 試験範囲間違えてた	自分を信じて
talk: 話しかけるチャンス逃した	またチャンスあるよ
talk: 話しに割り込んでくる	一言声掛けたら？
talk: 話しを聞いてくれない	顔をこっちに向かせれば？
talk: 話を聞き逃した	もう一回聞きに行こう
talk: 誕生日プレゼント買い忘れた	気が付くことが大切
talk: 誤送信をしてしまった	一日以内なら送信取り消しできるよ
talk: 説明会に出忘れた	人生何とかなるさ！説明会に取り組んでいる君は頑張っている！
talk: 読んでた漫画が終了した	作者の次回作を待ちましょう
talk: 誰からもLINE来ない	私もだよ！
talk: 誰も観てくれない	神に愛されてるから大丈夫
talk: 課題あるけどドラマの続き見たい	ちょっとだけ見ちゃう？
talk: 課題[が|][わからない|分からない]	まずは友達に相談しよう
talk: 課題が全然[できない|解けない]	まずは友達に相談しよう
talk: 課題が同時にたくさん出た	無理はしないでね
talk: 課題が多い	徹夜だ！！
talk: 課題が終わらない	徹夜だ！！
talk: 課題が終わらなくて徹夜した	パチパチ！提出忘れないでね
talk: 課題[が|]難しい	簡単という人はいないよ
talk: 課題[が|]難しすぎる	簡単という人はいないよ
talk: 課題のやる気[が|]出ない	頑張れ！
talk: 課題の提出日まで課題をやる日がない	徹夜だ！！
talk: 課題の提出時間に間に合わなかった	次から遅れないようにすれば大丈夫だよ!
talk: 課題の期限を間違えた	やっちゃったね、、
talk: 課題の締め切り忘れてた	やっちゃったね、、
talk: 課題の締め切り間違えてた	やっちゃったね、、
talk: 課題を出し忘れた	説得して提出させてもらおう
talk: 課題を提出し忘れた	説得して提出させてもらおう
talk: 調味料入れる順番間違えた	次はうまくやれるよ
talk: 講義動画見忘れた	1回くらいなら大丈夫だよ
talk: [お|]財布[|を]忘れた	愉快なサザエさん♪
talk: [お|]財布[|を]無くした	クレカ止めて！
talk: [お|]財布[を|]落とした	クレカ止めて！
talk: 貢がせてくれない	正しい方向なの？
talk: 貯金できるかな	貯金箱買おう
talk: 買い忘れしちゃった	忘れないよう今度はメモしよう！
talk: 買い物で一個買い忘れた	家にあるもので試行錯誤してみよう
talk: 買うもの[|を]間違えた	届いてすぐなら返品できるから大丈夫だよ!
talk: [買ったばかりの|]ネックレス[を|]なくした	それは悲しいね
talk: 賞味期限[|が]切れていた	買ったらすぐ食べよう
talk: 赤信号ばっかり！	そんな日もある！
talk: 赤切れで手が痛い	保湿保湿！
talk: 起きたら午後だった	切り替えていこ
talk: 起きれるか不安	目覚まし時計をかけよう
talk: 足[が|]つった	痛いよね
talk: 足[を|]捻った	気をつけてね
talk: 足[を|]踏まれた	なんそいつ
talk: 身内が亡くなった	ご愁傷様です
talk: 身内に裏垢ばれたかも	それは仕方ないかも
talk: 身長[が|]伸びない	カルシウムとろう
talk: 車にぶつかられた	整骨院か病院通えばお金もらえるよ
talk: 車に煽られた	落ち着いて離れよう
talk: 車[|を]擦った	一度は経験する道
talk: 転んだ	大丈夫？怪我はない？
talk: 転んでズボンが破けた	ええええええぇ！？どんな状況？？！
talk: 辛い	お互いがんばろう！
talk: 辛すぎる	いけるて
talk: 迎えに誰も来てくれない	待ちぼうけの練習だ
talk: 近所のラーメン屋[|が]潰れた	他店に食べに行こう
talk: [近所の|]人に見られてる気がする	話してみたいと思われてるのかもしれない
talk: 返信[が|]こない	相手も忙しいんだよ
talk: 返信[が|]遅い	きっと相手も忙しいんだ…！
talk: 返信に時間が取られる	大事なメッセージだけ返せばいいよ
talk: 返信[が|]めんどくさい	代わりにやってあげる
talk: 返信[が|]途切れた	気にしない気にしない
